S.No,date,Total Tests,daily_cases,district
1,01-08-2020,893,207,Nanded
2,02-08-2020,634,79,Nanded
3,03-08-2020,884,153,Nanded
4,04-08-2020,520,141,Nanded
5,05-08-2020,787,112,Nanded
6,06-08-2020,934,188,Nanded
7,07-08-2020,855,112,Nanded
8,08-08-2020,970,141,Nanded
9,09-08-2020,1189,142,Nanded
10,10-08-2020,1241,122,Nanded
11,11-08-2020,1145,114,Nanded
12,12-08-2020,1100,66,Nanded
13,13-08-2020,1112,153,Nanded
14,14-08-2020,1142,135,Nanded
15,15-08-2020,842,78,Nanded
16,16-08-2020,774,123,Nanded
17,17-08-2020,1339,298,Nanded
18,18-08-2020,1797,173,Nanded
19,19-08-2020,2275,252,Nanded
20,20-08-2020,1598,294,Nanded
21,21-08-2020,1548,173,Nanded
22,22-08-2020,481,86,Nanded
23,23-08-2020,1069,188,Nanded
24,24-08-2020,1055,171,Nanded
25,25-08-2020,1086,261,Nanded
26,26-08-2020,643,225,Nanded
27,27-08-2020,996,278,Nanded
28,28-08-2020,1039,296,Nanded
29,29-08-2020,1218,335,Nanded
30,30-08-2020,1119,262,Nanded
31,31-08-2020,1422,374,Nanded
32,01-09-2020,1413,357,Nanded
33,02-09-2020,1313,316,Nanded
34,03-09-2020,1733,399,Nanded
35,04-09-2020,1670,374,Nanded
36,05-09-2020,1283,393,Nanded
37,06-09-2020,844,225,Nanded
38,07-09-2020,1712,461,Nanded
39,08-09-2020,1398,331,Nanded
40,09-09-2020,1582,403,Nanded
41,10-09-2020,1618,443,Nanded
42,11-09-2020,1069,306,Nanded
43,12-09-2020,1274,320,Nanded
44,13-09-2020,644,200,Nanded
45,14-09-2020,1144,300,Nanded
46,15-09-2020,1671,421,Nanded
47,16-09-2020,1259,309,Nanded
48,17-09-2020,989,265,Nanded
49,18-09-2020,1363,309,Nanded
50,19-09-2020,1328,271,Nanded
51,20-09-2020,585,163,Nanded
52,21-09-2020,975,193,Nanded
53,22-09-2020,1077,271,Nanded
54,23-09-2020,1134,273,Nanded
