district,date,t_start,r,lower,upper
Delhi,2020-05-04,4,3.688555074275753,3.50175625526072,3.8801394462967993
Delhi,2020-05-05,5,3.0519888261044175,2.9038008373708166,3.2038127512460273
Delhi,2020-05-06,6,2.7157878665920507,2.5915916590709616,2.842849994346571
Delhi,2020-05-07,7,2.297112738393059,2.1938663032143704,2.402699822220864
Delhi,2020-05-08,8,1.8379635588089827,1.753326723648893,1.9245673565228099
Delhi,2020-05-09,9,1.4829942950627686,1.4121873634125952,1.5555088996621191
Delhi,2020-05-10,10,1.477033192439492,1.4099468518036324,1.5456568089583407
Delhi,2020-05-11,11,1.2794090086258763,1.21934171276472,1.3409002114229351
Delhi,2020-05-12,12,1.1727426210258494,1.1169994289115122,1.2298240282014803
Delhi,2020-05-13,13,1.1354685024714375,1.0818311472894906,1.190385353574284
Delhi,2020-05-14,14,1.2626614241919987,1.2069371871927042,1.3196255667344654
Delhi,2020-05-15,15,1.2574113556153657,1.2025341757267913,1.3134957503586744
Delhi,2020-05-16,16,1.2974231976703554,1.2425329064548678,1.3534832329467232
Delhi,2020-05-17,17,1.2632513914516166,1.2100069940942253,1.3176261162786211
Delhi,2020-05-18,18,1.1834105975598932,1.1328169968762904,1.235093971351787
Delhi,2020-05-19,19,1.1594388272949558,1.1102004364628777,1.2097305783367203
Delhi,2020-05-20,20,1.186257872223113,1.1371345652585547,1.2364053640603159
Delhi,2020-05-21,21,1.2272615240187332,1.1778989286409165,1.2776231468478856
Delhi,2020-05-22,22,1.3181365522832755,1.2676139048061095,1.3696326437451039
Delhi,2020-05-23,23,1.4239326646709765,1.3721928644164507,1.4766165657759571
Delhi,2020-05-24,24,1.3724974007866835,1.3226955817520651,1.4232066769389247
Delhi,2020-05-25,25,1.3547705656051445,1.3064486027222448,1.403957763697201
Delhi,2020-05-26,26,1.2223495162732896,1.177544231620928,1.2679796832053767
Delhi,2020-05-27,27,1.224878221517633,1.1809908500415407,1.2695550578619352
Delhi,2020-05-28,28,1.3562113151203645,1.3108180911169471,1.402366408721818
Delhi,2020-05-29,29,1.5414216112983814,1.4938360480894994,1.589742843724394
Delhi,2020-05-30,30,1.6683458738955612,1.6199371894696923,1.7174573172422498
Delhi,2020-05-31,31,1.8754066184419926,1.825624367743802,1.9258491937321842
Delhi,2020-06-01,32,1.796819195876665,1.749971614359138,1.844276974829256
Delhi,2020-06-02,33,1.7175843001982598,1.6738567367820136,1.7618678427776393
Delhi,2020-06-03,34,1.6748720702838595,1.6336361441105032,1.7166148149187836
Delhi,2020-06-04,35,1.5825986577680489,1.5442269330627105,1.6214347400562028
Delhi,2020-06-05,36,1.4660714422775798,1.4306204216056366,1.5019503102751068
Delhi,2020-06-06,37,1.4318728861013255,1.3980917451075479,1.4660516779726331
Delhi,2020-06-07,38,1.340495784454896,1.3088335000917568,1.372531218298767
Delhi,2020-06-08,39,1.1727740954808779,1.1439889682996525,1.2019119084068197
Delhi,2020-06-09,40,1.1216985871002008,1.094182272534079,1.1495518531413391
Delhi,2020-06-10,41,1.1163619850124595,1.0893382943389318,1.1437121706059583
Delhi,2020-06-11,42,1.1850845038296873,1.157549751294707,1.2129384047292588
Delhi,2020-06-12,43,1.3022596167547287,1.2736797302319676,1.3311521988746653
Delhi,2020-06-13,44,1.4504719320169612,1.420684689289718,1.48056392359048
Delhi,2020-06-14,45,1.5301202502965454,1.5000867465515244,1.5604473022166885
Delhi,2020-06-15,46,1.4747116859635279,1.4459763793601186,1.5037257884723907
Delhi,2020-06-16,47,1.3865143732330298,1.3594734432522642,1.4138178970399764
Delhi,2020-06-17,48,1.3442836417499053,1.3184202866719363,1.3703947316848535
Delhi,2020-06-18,49,1.3682380505565974,1.3428123800098979,1.3938988730246493
Delhi,2020-06-19,50,1.4120005474213515,1.386780656184611,1.4374445479858116
Delhi,2020-06-20,51,1.568226256262243,1.5422795021964042,1.5943864522645927
Delhi,2020-06-21,52,1.6065758493719702,1.5810173644699483,1.6323364281413184
Delhi,2020-06-22,53,1.5540811258950542,1.5297528014621657,1.5785987194167188
Delhi,2020-06-23,54,1.5478784200741074,1.5244369919625258,1.5714962282693916
Delhi,2020-06-24,55,1.500583299132778,1.4782888249676054,1.5230423204433385
Delhi,2020-06-25,56,1.3829354655931796,1.3622452166165973,1.4037794974712952
Delhi,2020-06-26,57,1.334472887995354,1.3147709444276592,1.3543193236722186
Delhi,2020-06-27,58,1.2679174830579027,1.2492189061270687,1.2867530403523204
Delhi,2020-06-28,59,1.1378377835137483,1.1205291770856145,1.1552772107356528
Delhi,2020-06-29,60,0.9830762831465313,0.9672862566658728,0.9989923750292911
Delhi,2020-06-30,61,0.8830868257298222,0.8682964854242464,0.8980003401544274
Delhi,2020-07-01,62,0.8114552588551153,0.7973270710508886,0.8257058008479204
Delhi,2020-07-02,63,0.7804466340306148,0.7665377051982977,0.7944788858343274
Delhi,2020-07-03,64,0.7712051536136142,0.7572453614731796,0.7852906785552461
Delhi,2020-07-04,65,0.8208605009093393,0.8062628111001131,0.8355873395215458
Delhi,2020-07-05,66,0.8488516970042135,0.8337842351067117,0.8640522143584264
Delhi,2020-07-06,67,0.7958852260257765,0.7810954637167361,0.8108117729681633
Delhi,2020-07-07,68,0.7898380941615497,0.7749126478858734,0.8049039349996469
Delhi,2020-07-08,69,0.7756620796736065,0.7606593491443249,0.7908092871793441
Delhi,2020-07-09,70,0.7749140017866336,0.7596869463580855,0.7902900537069845
Delhi,2020-07-10,71,0.7880299840498679,0.7724225434689005,0.803791364897319
Delhi,2020-07-11,72,0.8484903971471738,0.8320217241584484,0.8651182234090302
Delhi,2020-07-12,73,0.8378793922267872,0.8212564832491633,0.8546665383785383
Delhi,2020-07-13,74,0.7908024617880351,0.7744363528779145,0.8073373224859156
Delhi,2020-07-14,75,0.7590030592618371,0.7427572142940456,0.7754222132336094
Delhi,2020-07-15,76,0.740521619949658,0.7242338776473736,0.756987966990552
Delhi,2020-07-16,77,0.7536946730615304,0.736980114294512,0.7705940492993946
Delhi,2020-07-17,78,0.7708617715487991,0.7536430351892629,0.7882722907028006
Delhi,2020-07-18,79,0.8241030868593182,0.8059643369566868,0.8424408790941916
Delhi,2020-07-19,80,0.8104044748988938,0.792102991852317,0.8289120722234037
Delhi,2020-07-20,81,0.7580621352236112,0.7400910836909045,0.7762457679961572
Delhi,2020-07-21,82,0.7467750869699296,0.72866318280985,0.7651062416993888
Delhi,2020-07-22,83,0.7447918120258656,0.7263918687840529,0.763418689028617
Delhi,2020-07-23,84,0.7189170368163129,0.700506135321615,0.7375634271295631
Delhi,2020-07-24,85,0.7233932478822664,0.7045644030171776,0.7424669222058071
Delhi,2020-07-25,86,0.77921545949452,0.759263790274449,0.7994222806731875
Delhi,2020-07-26,87,0.7733761757468904,0.7530909235649558,0.7939272584356357
Delhi,2020-07-27,88,0.7134759898809543,0.6936312639460182,0.7335967055888152
Delhi,2020-07-28,89,0.7429329476514885,0.7223002567036543,0.7638521454499148
Delhi,2020-07-29,90,0.7751893792779585,0.7536825928275742,0.7969945046855617
Delhi,2020-07-30,91,0.7984574774864825,0.776194824578487,0.8210305142189359
Delhi,2020-07-31,92,0.8484900635937263,0.8251164373802764,0.8721855957895919
Delhi,2020-08-01,93,0.9650140270283956,0.9396725043148573,0.9906880357075181
Delhi,2020-08-02,94,0.972070385667534,0.9463216080175478,0.9981599691924364
Delhi,2020-08-03,95,0.9437880000984151,0.9182424015714465,0.969679200463376
Delhi,2020-08-04,96,0.8752697835634461,0.8505640461279381,0.9003242807002965
Delhi,2020-08-05,97,0.8621153937296899,0.8374727841671906,0.8871103409243
Delhi,2020-08-06,98,0.9093511038721944,0.8838479593593617,0.9352119235147233
Delhi,2020-08-07,99,0.969353832315617,0.9427929853631285,0.9962785046106502
Delhi,2020-08-08,100,1.099432298427285,1.070939357855686,1.128294108029113
Delhi,2020-08-09,101,1.228382405987044,1.1981679758076917,1.2589678351043363
Delhi,2020-08-10,102,1.1467694694921613,1.1176997316828323,1.1762072075875716
Delhi,2020-08-11,103,1.116476049404561,1.0880736483026123,1.1452392969831011
Delhi,2020-08-12,104,1.0803058164517454,1.0526376548044263,1.1083279048046786
Delhi,2020-08-13,105,0.9803108886568717,0.954177538502602,1.0067923797275251
Delhi,2020-08-14,106,0.9497602489401087,0.924182803562216,0.975681956023018
Delhi,2020-08-15,107,1.0503058964652225,1.0234360707631571,1.077519048474318
Delhi,2020-08-16,108,0.9412760452969623,0.9158399152061822,0.9670557283828312
Delhi,2020-08-17,109,0.8810550299369638,0.8564668282736678,0.9059863572276404
Delhi,2020-08-18,110,0.9617412869950288,0.9359779239406256,0.9878495586777476
Delhi,2020-08-19,111,1.0094458855769237,0.9829135896550202,1.0363266097465276
Delhi,2020-08-20,112,1.0049126082074495,0.9783524189062967,1.0318235597421668
Delhi,2020-08-21,113,1.1181076559887888,1.0900510855211847,1.1465157638224792
Delhi,2020-08-22,114,1.2316771975636627,1.2022501188212047,1.2614551256490918
Delhi,2020-08-23,115,1.2302543079077592,1.2010267675539712,1.2598283325101944
Delhi,2020-08-24,116,1.1415249549540354,1.1137036530596396,1.169684709360367
Delhi,2020-08-25,117,1.169467219956923,1.1416673784351532,1.197596818090931
Delhi,2020-08-26,118,1.2185653884762748,1.1905034572504414,1.2469496646823315
Delhi,2020-08-27,119,1.2610337345578921,1.2328199311827734,1.289562304171792
Delhi,2020-08-28,120,1.2840610010522413,1.2559829683685264,1.3124451092735665
Delhi,2020-08-29,121,1.3826125727785783,1.3539391059988217,1.4115823144253092
Delhi,2020-08-30,122,1.403776989372582,1.3754203500939515,1.4324189465150272
Delhi,2020-08-31,123,1.2933699002175922,1.266763397548768,1.320249081640036
Delhi,2020-09-01,124,1.2985752153208068,1.272533418077037,1.3248771246470448
Delhi,2020-09-02,125,1.3371788135786211,1.3113001187999842,1.3633068692314645
