district,date,t_start,r,lower,upper
Kolkata,2020-05-10,4,0.8186345770896841,0.7201027261975739,0.923392515807307
Kolkata,2020-05-11,5,0.8024834536928744,0.7058955716078625,0.9051745869732791
Kolkata,2020-05-12,6,0.8392047828738137,0.7401038721437612,0.9444418659430298
Kolkata,2020-05-13,7,0.9261463677973965,0.8210145102969497,1.0375200581816153
Kolkata,2020-05-14,8,0.8293226325278955,0.7291141273530976,0.9358895699962083
Kolkata,2020-05-15,9,0.8634913383227932,0.7603589033366542,0.9730872168372232
Kolkata,2020-05-16,10,0.9195236590385035,0.8119387805320283,1.0337046892233743
Kolkata,2020-05-17,11,0.9623449696001452,0.8511684166286814,1.0802465832369976
Kolkata,2020-05-18,12,0.8899031528013174,0.7823745973334184,1.0042546125563272
Kolkata,2020-05-19,13,1.0093232860731318,0.8939504548753474,1.1315967314093662
Kolkata,2020-05-20,14,1.116754144219839,0.9945374282859476,1.2459509636704236
Kolkata,2020-05-21,15,1.0529957262108842,0.934280959830189,1.17870765801521
Kolkata,2020-05-22,16,0.9543117669556092,0.8418280571952036,1.0737464682300049
Kolkata,2020-05-23,17,0.8839680051575195,0.776094803138355,0.9987585937504893
Kolkata,2020-05-24,18,0.8539538862536294,0.7478164500190246,0.9670318801090516
Kolkata,2020-05-25,19,0.7120442648063042,0.6148841088395286,0.816226939481005
Kolkata,2020-05-26,20,0.7684847381842272,0.6664000054915082,0.8777380849043421
Kolkata,2020-05-27,21,0.9339992606476885,0.8193310132528494,1.0560681240877965
Kolkata,2020-05-28,22,1.1682584593596477,1.0376553205913643,1.30649087232265
Kolkata,2020-05-29,23,1.2626037119526716,1.1257345512101264,1.4072113855374295
Kolkata,2020-05-30,24,1.4618296279612402,1.314904387772438,1.6164241213075388
Kolkata,2020-05-31,25,1.475751154740761,1.3301488514904602,1.628806758228724
Kolkata,2020-06-01,26,1.3965361642503487,1.2582094987959849,1.5419729234323418
Kolkata,2020-06-02,27,1.4020228849179035,1.2669855369269376,1.5437997636175982
Kolkata,2020-06-03,28,1.4258131267576981,1.2930048057193675,1.5650206554341957
Kolkata,2020-06-04,29,1.398651816385179,1.27043130555825,1.5329481003452705
Kolkata,2020-06-05,30,1.415083803341735,1.289371383154972,1.5465600660463534
Kolkata,2020-06-06,31,1.4617289635097512,1.3371248320410956,1.5918045733217348
Kolkata,2020-06-07,32,1.2704744770330145,1.1574900576648015,1.3886448749772422
Kolkata,2020-06-08,33,1.280680809673665,1.1701123189033797,1.3961694771644084
Kolkata,2020-06-09,34,1.3216849394830188,1.211644530923916,1.436439729055404
Kolkata,2020-06-10,35,1.2915348646047367,1.1848851218824055,1.4027146742179821
Kolkata,2020-06-11,36,1.2907381465509984,1.1862166515902808,1.3996097124281581
Kolkata,2020-06-12,37,1.3227135710277078,1.2188948439257878,1.4307148075797873
Kolkata,2020-06-13,38,1.3354276579297406,1.2330906992864117,1.441785950653902
Kolkata,2020-06-14,39,1.334385848216045,1.234138778714815,1.4384916312110185
Kolkata,2020-06-15,40,1.2668174919620947,1.171216252627817,1.3661159174651207
Kolkata,2020-06-16,41,1.3141213135080105,1.2186954109041466,1.4130929321252779
