district,date,t_start,r,lower,upper
Mumbai,2020-05-04,4,2.6534738027047253,2.553714357248017,2.755117895893563
Mumbai,2020-05-05,5,2.2662512453929504,2.1843019986236425,2.3496884873300696
Mumbai,2020-05-06,6,1.9071085311045937,1.838358320205735,1.977103164125028
Mumbai,2020-05-07,7,1.7297015338881834,1.6687155471521862,1.7917667387339216
Mumbai,2020-05-08,8,1.7002326651961153,1.6430806242853582,1.7583481196450887
Mumbai,2020-05-09,9,1.6431393702194521,1.5895649272777708,1.6975893534180002
Mumbai,2020-05-10,10,1.607531998605943,1.556789539501867,1.6590768555017688
Mumbai,2020-05-11,11,1.4874829551991233,1.4406094746808984,1.5350963765004257
Mumbai,2020-05-12,12,1.2884433311870733,1.2464278663279285,1.331145531104527
Mumbai,2020-05-13,13,1.2282823547263957,1.1885161858916513,1.2686937526488924
Mumbai,2020-05-14,14,1.2601148926969457,1.2207482932502565,1.3000974918227293
Mumbai,2020-05-15,15,1.2318931854441042,1.1936908440095662,1.2706888500012365
Mumbai,2020-05-16,16,1.2201206615942533,1.1827609894019497,1.2580531319417019
Mumbai,2020-05-17,17,1.5230380289295502,1.4819359507477345,1.5646944998920493
Mumbai,2020-05-18,18,1.5758128445488406,1.534767639331518,1.6173921405040919
Mumbai,2020-05-19,19,1.6018992311424376,1.5616497819039554,1.642653664708244
Mumbai,2020-05-20,20,1.6080133935493706,1.5690014310398213,1.647497756068196
Mumbai,2020-05-21,21,1.6124600670696057,1.5747603008955982,1.6505995771203579
Mumbai,2020-05-22,22,1.5314644756134055,1.4960515535476706,1.5672858787817354
Mumbai,2020-05-23,23,1.499921283389682,1.466127203040519,1.5340950620424372
Mumbai,2020-05-24,24,1.4597784964461977,1.4275542280006701,1.4923574194369615
Mumbai,2020-05-25,25,1.3794817606998202,1.3491420374038794,1.4101541557323798
Mumbai,2020-05-26,26,1.2377421659961423,1.2098402957769252,1.2659577003906155
Mumbai,2020-05-27,27,1.066138593763589,1.0408882479304242,1.0916873395895832
Mumbai,2020-05-28,28,1.0139628082341885,0.9897716620127328,1.038441963902521
Mumbai,2020-05-29,29,0.9531659217203144,0.9299389283438568,0.9766754323079192
Mumbai,2020-05-30,30,0.95729146832472,0.9341077101882604,0.9807554586830852
Mumbai,2020-05-31,31,0.9929876146854343,0.9693741990441788,1.0168812332359805
Mumbai,2020-06-01,32,1.0501944534838346,1.0258761440638777,1.0747936679208472
Mumbai,2020-06-02,33,0.9986071991842774,0.9748934841155259,1.0226019076109014
Mumbai,2020-06-03,34,0.9705263500485468,0.9471828589800053,0.994150050479059
Mumbai,2020-06-04,35,0.9593989138968425,0.9361979469605775,0.982879907777523
Mumbai,2020-06-05,36,0.9475813898364087,0.9244976603450031,0.9709458056165564
Mumbai,2020-06-06,37,0.9312331938118695,0.9082986291664789,0.9544497310020372
Mumbai,2020-06-07,38,0.9827813427889128,0.9591395077556294,1.006707011953629
Mumbai,2020-06-08,39,0.995260863179028,0.9713820625899799,1.0194255764079732
Mumbai,2020-06-09,40,0.9353754383878475,0.9121798616520981,0.9588581896040382
Mumbai,2020-06-10,41,1.0023361886012356,0.9782767505239949,1.0266838341182196
Mumbai,2020-06-11,42,1.0296257558022217,1.00517544959525,1.0543657835320415
Mumbai,2020-06-12,43,1.023104198921056,0.9987113127150724,1.0477872994775663
Mumbai,2020-06-13,44,1.0321107839235115,1.0076285640830946,1.0568827788775117
Mumbai,2020-06-14,45,1.0872867758479707,1.0621887066292368,1.112673835238421
Mumbai,2020-06-15,46,1.0060753903543416,0.981996936037878,1.0304414248503746
Mumbai,2020-06-16,47,0.9260579296662006,0.9030451733689255,0.9493562029641159
Mumbai,2020-06-17,48,0.9231509254418083,0.9001974109329823,0.9463893853209842
Mumbai,2020-06-18,49,0.913988499109525,0.891091604158252,0.9371718048456392
Mumbai,2020-06-19,50,0.9020361995241027,0.8791914047851177,0.9251699208275193
Mumbai,2020-06-20,51,0.9310278800839205,0.9076887693688703,0.9546591277183359
Mumbai,2020-06-21,52,0.9773962966223845,0.9533343737192408,1.001753933674891
Mumbai,2020-06-22,53,0.9460654586735975,0.922276832576047,0.9701527707519555
Mumbai,2020-06-23,54,0.8789999009734233,0.8559959688985818,0.9023046049150283
Mumbai,2020-06-24,55,0.863415788728962,0.840517738126468,0.8866172812214194
Mumbai,2020-06-25,56,0.9016443068976633,0.8780773425416716,0.9255190132328486
